Ville;Pop.;Dechets par an;dechets tota;potentiel recyclage en euro;taux de recyclage;recycle;revenue 
Biarritz;24457;70;1711990;256798.5;0.264;451965.36;67794.804
Nazare;15158;70;1061060;159159.0;0.42;445645.2;66846.78
