PLASTICS_APPLICATIONS,Plastiques applications,TIME,Temps,Value,Flag Codes,Flags
,Total,2007,2007,328.116,,
,Total,2008,2008,312.909,,
,Total,2009,2009,321.169,,
,Total,2010,2010,348.88,,
,Total,2011,2011,363.27,,
,Total,2012,2012,377.301,,
,Total,2013,2013,393.737,,
,Total,2014,2014,401.032,,
,Total,2015,2015,412.751,,
,Total,2016,2016,419.97,,
,Total,2017,2017,432.184,,
,Total,2018,2018,446.2,,
,Total,2019,2019,459.746,,
